routine_id,routine_name,routine_emoji,routine_note,ex_id,ex_name,musculo,bloque,series,reps_target,weight_ref,descanso,tags,notas
leg,Leg,🦵,Sentadilla hack como movimiento principal. Hip thrust doble bloque.,l1,Sentadilla hack,Cuádriceps,Principal,3,5-9,15,120s,,
leg,Leg,🦵,Sentadilla hack como movimiento principal. Hip thrust doble bloque.,l2,Hip thrust — pesado,Glúteo,Principal,3,5-9,80,90s,,
leg,Leg,🦵,Sentadilla hack como movimiento principal. Hip thrust doble bloque.,l3,Hip thrust — volumen,Glúteo,Volumen,2,10-12,100,60s,,
leg,Leg,🦵,Sentadilla hack como movimiento principal. Hip thrust doble bloque.,l4,Femoral sentado,Femoral,Accesorio,4,5-9,110,90s,,
leg,Leg,🦵,Sentadilla hack como movimiento principal. Hip thrust doble bloque.,l5,Extensión rodilla,Cuádriceps,Accesorio,2,8·8 drop,110,60s,dropset,
leg,Leg,🦵,Sentadilla hack como movimiento principal. Hip thrust doble bloque.,l6,Femoral acostado,Femoral,Accesorio,2,8·8 drop,,60s,dropset,
leg,Leg,🦵,Sentadilla hack como movimiento principal. Hip thrust doble bloque.,l7,Abductores,Abductores,Accesorio,2,8·8 drop,,60s,dropset,
push,Push,💪,Press horizontal como ancla. Biserie de abdomen al final.,p1,Press pecho horizontal barra,Pecho,Principal,3,6-9,100,120s,,
push,Push,💪,Press horizontal como ancla. Biserie de abdomen al final.,p2,Extensión tríceps barra corta,Tríceps,Principal,3,6-9,47.5,90s,,
push,Push,💪,Press horizontal como ancla. Biserie de abdomen al final.,p3,Press militar máquina,Hombro,Accesorio,4,6-9,55,90s,,
push,Push,💪,Press horizontal como ancla. Biserie de abdomen al final.,p4,Peck fly,Pecho,Accesorio,2,8·8 drop,100,60s,dropset,
push,Push,💪,Press horizontal como ancla. Biserie de abdomen al final.,p5,Extensión tríceps sobre cabeza,Tríceps,Accesorio,2,8·8 drop,42.5,60s,dropset,
push,Push,💪,Press horizontal como ancla. Biserie de abdomen al final.,p6,Crunch abdominal en banco,Abdomen,Finisher,3,10-12,,,biserie-a,
push,Push,💪,Press horizontal como ancla. Biserie de abdomen al final.,p7,Crunch inverso en banco,Abdomen,Finisher,3,10-12,,,biserie-b,
pull,Pull,🏋️,Remo + jalón como base. Biserie de bíceps al final.,r1,Remo con máquina,Espalda,Principal,3,6-9,100,120s,,
pull,Pull,🏋️,Remo + jalón como base. Biserie de bíceps al final.,r2,Curl bíceps supino mancuerna,Bíceps,Principal,3,6-9,10,90s,,
pull,Pull,🏋️,Remo + jalón como base. Biserie de bíceps al final.,r3,Jalón al pecho agarre medio,Espalda,Accesorio,3,8-10,100,90s,,
pull,Pull,🏋️,Remo + jalón como base. Biserie de bíceps al final.,r4,Curl bíceps bayasian banco inclinado,Bíceps,Accesorio,3,8-10,15,60s,biserie-a,
pull,Pull,🏋️,Remo + jalón como base. Biserie de bíceps al final.,r5,Posterior mancuerna banco inclinado,Hombro,Accesorio,3,12-14,10,60s,biserie-b,
pull,Pull,🏋️,Remo + jalón como base. Biserie de bíceps al final.,r6,Crunch abdominal máquina,Abdomen,Finisher,3,8·8·8 drop,,60s,dropset,
leg2,Leg 2,🦵,Press pierna + hip thrust. Biserie extensión/femoral al final. Revisar press unilateral en video.,l2a,Press de pierna inclinado,Cuádriceps,Principal,3,8-10,,120s,,
leg2,Leg 2,🦵,Press pierna + hip thrust. Biserie extensión/femoral al final. Revisar press unilateral en video.,l2b,Hip thrust,Glúteo,Principal,3,8-10,,90s,,
leg2,Leg 2,🦵,Press pierna + hip thrust. Biserie extensión/femoral al final. Revisar press unilateral en video.,l2c,Press pierna horizontal unilateral,Cuádriceps,Accesorio,3,10-12,,90s,video,Revisar técnica en video antes de cargar peso.
leg2,Leg 2,🦵,Press pierna + hip thrust. Biserie extensión/femoral al final. Revisar press unilateral en video.,l2d,Abductores 3 posiciones,Abductores,Accesorio,3,8·8·fallo,,60s,,
leg2,Leg 2,🦵,Press pierna + hip thrust. Biserie extensión/femoral al final. Revisar press unilateral en video.,l2e,Extensión rodilla,Cuádriceps,Accesorio,3,8·8 drop,,60s,biserie-a|dropset,
